keys,en,fr,es
assignment.condition.remainingtiles,Mine every block,Miner tous les blocs,Romper todos los bloques
assignment.mineall.title,Need for more room,Besoin de plus de place,Se necesita mas espacio
assignment.mineall.desc,Mine every block in the mine.,Miner tous les blocs de la mine.,Romper todos los bloques de la mina.
assignment.detonators.title,Minefield,Terrain Miné,Campo de minas
assignment.detonators.desc,The previous mission let a lot of explosives behind them.,La mission précédente a laissé des explosifs derrière elle.,La precedente mision ha dejado explosivos detras de si.
assignment.aprilfools.title,Weird deepness,Profondeurs étranges,Profundidades extranas
assignment.aprilfools.desc,"Smtoehnig is wonrg hree, yet it feles filamiar. ",Il y a quelque chose d’étrange ici malgré un sentiment familier.,Hay algo extrano aqui. Pero todo parece como siempre.
assignment.goaltype.mineall,Mine every breakeable block.,Casser tous les blocs cassables.,Romper todos los bloques que se puedan romber.
assignment.thieves.title,Best friends forever,Meilleurs amis,Mejores amigos
assignment.thieves.desc,"The shroomers in the mine are quite friendly, but they seem to love stealing ressources.","Les champignards dans les mines sont assez sympathiques. Cependant, ils semblent avoir une tendance à prendre les ressources.",Los amigosetas de la mina son bastante simpaticos pero robar los recursos.
